itemCode,category,itemName,unit,tier,unitPrice,pricingNote,sourceUrl
PREP_001,Chuẩn bị,"Dọn dẹp, phá dỡ nhẹ hiện trạng",m2,standard,85000,Tham khảo BOQ thực tế; dùng cho cải tạo nhẹ,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PREP_002,Chuẩn bị,Vận chuyển phế thải trong phạm vi công trình,m3,standard,420000,Giá demo Hà Nội,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
PREP_004,Chuẩn bị,"Lán trại, điện nước tạm và an toàn công trường",gói,standard,18000000,Tạm tính theo gói nhà dân dụng,https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/116706/bang-gia-nhan-cong-xay-dung-tai-ha-noi-tu-01-7-2026-cong-van-14502-sxd-ktxd
FND_001,Móng,Cọc BTCT 200x200 cung cấp tại công trình,m,standard,205000,Neo theo BOQ nhà ở gia đình user cung cấp,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_002,Móng,Ép cọc BTCT 200x200,m,standard,105000,Quy đổi từ đơn giá ép cọc/100m,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_003,Móng,Nối cọc BTCT 200x200,mối,standard,35000,Neo theo BOQ thực tế,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_004,Móng,Đập đầu cọc BTCT,cái,standard,120000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_005,Móng,Đào đất móng bằng máy,m3,standard,95000,Giá tổng hợp máy + nhân công,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_006,Móng,Vận chuyển đất thừa ra khỏi công trình,m3,standard,220000,Giá demo,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
FND_007,Móng,Bê tông lót móng M100,m3,standard,1620000,Neo theo BOQ thực tế,https://hanoi.gov.vn/chi-dao-cua-ubnd-thanh-pho-ha-noi/ban-hanh-quy-che-phoi-hop-va-thuc-hien-cong-bo-gia-vat-lieu-xay-dung-4260615143725967.htm
